Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Class
1	Spectrogram 1	1	1336.804731171	1341.399736965	1265.3	1687.1	M
2	Spectrogram 1	1	1357.679186065	1366.475340015	1251.7	1918.4	M
3	Spectrogram 1	1	1379.472642119	1386.955937270	1238.1	1891.2	M
4	Spectrogram 1	1	1395.095661820	1402.316385211	1278.9	1727.9	M
5	Spectrogram 1	1	1410.760814487	1418.506681398	1224.5	1700.7	M
6	Spectrogram 1	1	1425.596118909	1433.735843459	1278.9	1727.9	M
7	Spectrogram 1	1	1442.006853889	1449.621434920	1197.3	1823.1	M
8	Spectrogram 1	1	1447.127003203	1463.537738183	449.0	2489.8	F
9	Spectrogram 1	1	1463.931595822	1472.859035652	870.7	1809.5	M
10	Spectrogram 1	1	1481.917761361	1489.401056512	857.1	1945.6	M
11	Spectrogram 1	1	1495.832842014	1502.397136006	1034.0	1918.4	M
12	Spectrogram 1	1	1498.983703130	1513.031292273	476.2	2503.4	F
13	Spectrogram 1	1	1513.031292273	1521.171016823	843.5	1782.3	M
14	Spectrogram 1	1	1534.693462447	1543.752188156	829.9	1918.4	M
15	Spectrogram 1	1	1550.841625667	1557.537205539	898.0	1972.8	M
16	Spectrogram 1	1	1554.911487942	1571.190937042	381.0	2789.1	F
17	Spectrogram 1	1	1571.204369771	1580.131809600	843.5	1918.4	M
18	Spectrogram 1	1	1588.665391790	1597.592831619	802.7	1932.0	M
19	Spectrogram 1	1	1603.106838573	1613.347137200	966.0	2081.6	M
20	Spectrogram 1	1	1609.014703165	1624.900294626	312.9	2680.3	F
21	Spectrogram 1	1	1625.688009905	1633.302590936	775.5	1945.6	M
22	Spectrogram 1	1	1637.809054257	1646.473922327	816.3	2013.6	F2
23	Spectrogram 1	1	1646.473922327	1653.957217477	843.5	1850.3	M
24	Spectrogram 1	1	1660.915369109	1669.974094818	952.4	1959.2	M
25	Spectrogram 1	1	1664.460087865	1684.940685120	340.1	2503.4	F
26	Spectrogram 1	1	1685.203256880	1692.949123790	707.5	1877.6	M
27	Spectrogram 1	1	1703.757309344	1712.947320932	925.2	1945.6	M
28	Spectrogram 1	1	1722.137332521	1730.408342951	884.4	2013.6	M
29	Spectrogram 1	1	1738.941925141	1746.950363811	829.9	1986.4	M
30	Spectrogram 1	1	1742.749215656	1760.472809435	367.3	2761.9	F
31	Spectrogram 1	1	1761.129238834	1769.662821024	721.1	2000.0	M
32	Spectrogram 1	1	1779.435374877	1788.362814706	802.7	1959.2	M
33	Spectrogram 1	1	1797.946683935	1806.086408485	734.7	2000.0	M
34	Spectrogram 1	1	1804.510977927	1820.002711748	462.6	2598.6	F
35	Spectrogram 1	1	1820.265283508	1829.061437457	829.9	2204.1	M
36	Spectrogram 1	1	1830.285753782	1839.869623010	748.3	2244.9	F2
37	Spectrogram 1	1	1842.889198247	1852.998210994	857.1	1904.8	M
38	Spectrogram 1	1	1864.316883000	1872.456607550	802.7	1877.6	M
39	Spectrogram 1	1	1874.032038108	1880.727617980	1074.8	1932.0	M2
40	Spectrogram 1	1	1882.040476778	1889.261200169	843.5	1863.9	M
41	Spectrogram 1	1	1887.029340212	1899.764070557	530.6	2435.4	F
42	Spectrogram 1	1	1901.076929355	1907.116079828	843.5	1850.3	M
43	Spectrogram 1	1	1908.035080986	1915.255804378	843.5	1972.8	M2
44	Spectrogram 1	1	1918.800523133	1926.546390044	693.9	1918.4	M
45	Spectrogram 1	1	1933.898399315	1943.482268543	829.9	1891.2	M
46	Spectrogram 1	1	1951.490707214	1960.155575283	884.4	1782.3	M
47	Spectrogram 1	1	1955.705288098	1972.641166597	421.8	2789.1	F
48	Spectrogram 1	1	1972.247308957	1980.780891147	789.1	2054.4	M
49	Spectrogram 1	1	1981.437320546	1988.001614538	938.8	2013.6	M2
50	Spectrogram 1	1	1991.808905054	2000.605059003	789.1	2285.7	M
51	Spectrogram 1	1	2010.320214111	2017.934795142	898.0	1932.0	M
52	Spectrogram 1	1	2027.912522010	2033.820386603	870.7	2040.8	M
53	Spectrogram 1	1	2041.185828603	2047.356264955	789.1	1986.4	M
54	Spectrogram 1	1	2045.912120277	2060.090995300	435.4	2748.3	F
55	Spectrogram 1	1	2059.959709420	2068.362005730	802.7	2163.3	M
56	Spectrogram 1	1	2076.370444400	2084.116311311	898.0	2272.1	M
